PC1,PC2,label
-0.7600707067259049,-0.8553603502271719,RMALOS
-0.6939860404906855,-0.8343463869797976,RMALOS
-0.7937645666343411,-0.7946471305544389,RMALOS
-0.748675541921082,-0.8666555298511631,RMALOS
-0.897386223449536,-0.8335613660817089,RMALOS
-0.5406141227019119,-0.8071519328552822,RMALOS
-0.8291329271228814,-0.7898668963776997,RMALOS
-0.7137797580165696,-0.8361225940287108,RMALOS
-0.6787253580583266,-0.670863608202569,RMALOS
-0.7648556605752179,-0.8814449461186498,RMALOS
-0.6500962370108143,-0.7724237775892935,RMALOS
-0.6993180770734684,-0.813146529871703,RMALOS
-0.6723971441529787,-0.8652437802859376,RMALOS
-0.715584624611487,-0.8180476790752159,RMALOS
-0.6434729748358874,-0.7150729635544871,RMALOS
-0.7211294774579264,-0.8201235907110795,RMALOS
-0.7270264048333519,-0.7799927327603398,RMALOS
-0.6826142316404877,-0.9232807683833637,RMALOS
-0.6284456936178067,-0.650770807043446,RMALOS
-0.7283962268669182,-0.8607201958816708,RMALOS
-0.6154562931323581,-0.7623776000412266,RMALOS
-0.6509710755944066,-0.7186299507487209,RMALOS
-0.5574740383082643,-0.6951039709860988,RMALOS
-0.7023641088475491,-0.7346985724930833,RMALOS
-0.6823242824700768,-0.687889047894808,RMALOS
-0.6577269963435951,-0.820679097959532,RMALOS
-0.5977518187469165,-0.7275777069299056,RMALOS
-0.5836402146852551,-0.7255866666979789,RMALOS
-0.6372875810676065,-0.6853933568028728,RMALOS
-0.6007037063346279,-0.7913519754452527,RMALOS
-0.6232221460734059,-0.7754869523678491,RMALOS
-0.7290595456444883,-0.7157875206893891,RMALOS
-0.6503400974178551,-0.7377443501695548,RMALOS
-0.6292995524685797,-0.7714350502380593,RMALOS
-0.6477772549012255,-0.8076569659535929,RMALOS
-0.7319696408171021,-0.7168842202009367,RMALOS
-0.7953190987493618,-0.727603714809202,RMALOS
-0.6092620835358667,-0.6823365641472385,RMALOS
-0.5485228045038908,-0.6386422872967357,RMALOS
-0.5533580346882029,-0.6805728400294566,RMALOS
-0.661656112070023,-0.7214224772241644,RMALOS
-0.6979841954464016,-0.727901580767606,RMALOS
-0.6128203703871913,-0.6814401873197613,RMALOS
-0.5399214770982128,-0.5919329837467875,RMALOS
-0.4728455325813983,-0.7033207856105501,RMALOS
-0.5640789858559978,-0.7779696108169367,RMALOS
-0.5992516291755173,-0.5668625937240694,RMALOS
-0.6454584937115517,-0.7390009704982416,RMALOS
-0.4732656103771068,-0.6312892539299538,RMALOS
-0.569256546895424,-0.7991357902137989,RMALOS
-0.6794754853208083,-0.6613026236907169,RMALOS
-0.571747777646091,-0.7563253810261058,RMALOS
-0.6416203683278929,-0.6771096393840116,RMALOS
-0.6898520961718195,-0.643956823619613,RMALOS
-0.6105221075765064,-0.7285107671422624,RMALOS
-0.5409111834168095,-0.7872206561647864,RMALOS
-0.6337218871345383,-0.6812962320947523,RMALOS
-0.5978360830503336,-0.8535373311477801,RMALOS
-0.6105673737011807,-0.8162790405602747,RMALOS
-0.6272428056384513,-0.7901396319258382,RMALOS
-0.6563972325092805,-0.5841803509132346,RMALOS
-0.6527047773073796,-0.6121105669565461,RMALOS
-0.5541863212612678,-0.5408932917866514,RMALOS
-0.5333312532796414,-0.6899757156807625,RMALOS
